model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 Kuga,2019,Manual,837,Diesel,145.38907069,39.5,1.5,19851
 Fiesta,2017,Manual,23514,Petrol,149.32096692,62.9,1.0,9715
 EcoSport,2017,Manual,22918,Petrol,147.07538142,52.3,1.0,10997
 Kuga,2013,Manual,45161,Hybrid,133.90942264,61.2,2.0,9547
 Fiesta,2017,Automatic,3431,Petrol,148.10102866,54.3,1.0,16424
 Fiesta,2019,Manual,7154,Petrol,146.91038496,59.9,1.0,16274
 Kuga,2017,Semi-Auto,35214,Diesel,145.13689738,46.2,2.0,16165
 EcoSport,2015,Manual,22190,Petrol,126.68867893,52.9,1.0,8872
 Galaxy,2016,Manual,37078,Diesel,128.61701889,56.5,2.0,16561
 EcoSport,2018,Manual,25541,Petrol,145.21050228,53.6,1.0,12023
 Focus,2017,Manual,9911,Petrol,153.28749966,60.8,1.0,11498
 Fiesta,2016,Manual,17778,Petrol,25.54494878,63.1,1.0,8992
 Fiesta,2019,Manual,5275,Petrol,148.25953101,59.0,1.0,13343
 Fiesta,2018,Manual,17329,Petrol,145.24783502,66.6,1.0,10979
 Galaxy,2017,Manual,18702,Diesel,125.43058693,56.5,2.0,18521
 Kuga,2018,Manual,4876,Petrol,149.82896756,53.8,1.2,12182
 Focus,2017,Manual,24825,Petrol,147.56419578,60.6,1.0,9999
 Focus,2018,Manual,15164,Petrol,147.12869901,67.5,1.0,13146
 Fiesta,2019,Manual,8065,Petrol,148.62832733,59.9,1.0,15952
 Focus,2019,Semi-Auto,8328,Diesel,146.62043486,65.1,1.5,16954
 Focus,2015,Manual,48502,Diesel,128.95003442,74.3,1.5,8991
 Fiesta,2018,Manual,12934,Petrol,149.44028444,67.1,1.0,11025
 Fiesta,2019,Manual,3367,Petrol,149.25811633,65.9,1.0,15940
 EcoSport,2016,Manual,30993,Petrol,129.56504982,52.3,1.0,9244
 Mondeo,2018,Automatic,11299,Petrol,149.16132718,54.4,1.0,12353
 Focus,2013,Manual,49145,Diesel,0.0,74.3,1.5,6936
 EcoSport,2017,Semi-Auto,25108,Petrol,134.79725899,52.7,1.0,11010
 Fiesta,2017,Manual,13803,Petrol,0.0,66.7,1.0,10026
 Fiesta,2016,Manual,33578,Diesel,0.0,88.3,1.5,8381
